Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
A.J. Feeley,18,-0.47,-0.5,-0.12,-0.29,0.23,-0.34,-0.54,-0.46
A.J. McCarron,4,0.36,-1.14,-1.34,-0.07,-0.57,1.23,0.42,-0.05
Aaron Brooks,90,-0.2,0.91,0.68,0.22,-0.2,0.1,0.13,0.21
Aaron Rodgers,174,0.69,1.11,0.98,1.23,-0.96,0.0,1.27,1.09
Adrian Breen,1,-1.47,-1.07,-1.93,2.51,-1.57,3.04,0.63,-1.32
Akili Smith,17,-1.74,-0.8,-1.09,-1.51,-0.67,1.08,-1.37,-1.25
Alan Risher,3,0.79,-0.51,0.59,-0.15,-0.02,0.88,0.39,0.09
Alex Smith,161,0.32,0.37,0.1,-0.03,-0.56,0.34,0.35,0.2
Alex Van Pelt,11,-0.27,-0.29,-0.27,-0.14,0.5,-1.15,-0.36,-0.06
Andre Ware,6,-0.91,-1.05,-0.62,-0.38,0.49,1.98,-0.6,-0.56
Andrew Luck,86,-0.12,1.07,0.94,0.63,-0.18,-0.58,0.29,0.44
Andrew Walter,9,-1.46,-0.54,-1.08,-1.82,0.99,2.53,-1.72,-1.68
Andy Dalton,133,0.18,0.74,0.46,0.42,-0.07,-0.39,0.33,0.36
Anthony Dilweg,7,-0.34,-0.45,-0.15,0.17,-0.06,0.85,-0.08,-0.24
Anthony Wright,19,-0.64,-0.62,-0.22,-0.11,0.56,0.36,-0.6,-0.65
Archie Manning,2,0.06,-0.96,-0.93,-0.97,-0.46,1.86,-0.29,-0.94
Art Schlichter,6,-1.62,-0.94,-1.06,-1.22,0.48,1.03,-1.63,-1.68
Austin Davis,10,0.25,-0.48,-0.19,-0.37,0.42,0.92,-0.34,-0.71
Babe Laufenberg,7,-1.23,-0.81,-0.85,-0.58,0.03,1.12,-0.89,-1.08
Baker Mayfield,29,-0.2,0.93,0.63,0.42,0.43,-0.46,0.02,0.21
Ben Roethlisberger,216,0.72,1.03,0.97,0.7,-0.23,-0.07,0.81,0.79
Bernie Kosar,101,0.65,0.94,0.78,-0.13,-0.64,-0.1,0.56,0.46
Bert Jones,4,-0.09,-1.26,-0.65,-0.84,0.08,0.0,-0.78,-0.88
Bill Kenney,61,-0.01,0.67,0.46,0.15,-0.58,-0.16,0.37,0.4
Bill Musgrave,1,0.48,-1.35,-1.83,-2.0,0.28,-0.01,-0.91,-1.01
Billy Joe Hobert,13,-0.48,-0.89,-0.93,0.31,0.33,-0.21,-0.2,-0.12
Billy Joe Tolliver,46,-0.5,-0.12,0.01,-0.22,0.18,-0.23,-0.43,-0.26
Billy Volek,10,0.52,0.08,0.57,0.68,-0.56,0.2,0.66,0.4
Blaine Gabbert,48,-0.85,-0.53,-0.44,-0.48,0.13,0.58,-0.72,-0.84
Blair Kiel,3,0.39,-1.04,-0.67,-0.18,0.4,-0.61,-0.21,-0.18
Blake Bortles,73,-0.47,0.77,0.42,-0.05,0.14,0.06,-0.28,-0.21
Bob Avellini,3,-1.57,-1.65,-1.76,-2.18,-1.4,1.59,-1.43,-1.59
Bob Bleier,2,-1.64,-0.89,-1.16,-0.62,-0.59,-0.24,-0.97,-0.56
Bob Gagliano,13,-0.24,-0.37,-0.27,0.06,0.72,0.15,-0.35,-0.09
Bobby Hebert,100,0.59,0.86,0.71,0.39,-0.04,-0.58,0.45,0.42
Bobby Hoying,13,-0.43,-0.43,0.12,-0.71,0.02,1.22,-0.79,-1.1
Boomer Esiason,173,0.33,1.03,0.79,0.66,-0.17,-0.51,0.56,0.64
Brad Goebel,2,-0.33,-1.25,-1.46,-1.46,2.57,0.51,-2.24,-2.37
Brad Johnson,125,0.71,0.76,0.58,0.11,-0.34,-0.46,0.43,0.37
Brady Quinn,20,-0.81,-0.78,-0.88,-0.84,0.22,0.1,-0.88,-0.82
Brandon Allen,3,-2.6,-1.05,-0.35,-0.05,-0.1,0.45,-0.87,-0.39
Brandon Weeden,21,-0.8,0.14,0.07,-0.51,0.46,-0.19,-0.69,-0.43
Brent Pease,3,-0.23,-0.34,-0.56,-0.59,0.09,-0.71,-0.47,-0.03
Brett Favre,298,0.75,1.47,1.12,0.76,-0.12,-0.67,0.64,0.58
Brett Hundley,9,-0.07,-0.24,-0.54,-0.63,0.45,0.36,-0.73,-0.99
Brian Brohm,2,-1.1,-1.26,-1.2,-1.96,2.49,0.76,-2.23,-2.02
Brian Griese,68,0.84,0.34,0.89,0.28,-0.17,-0.28,0.54,0.42
Brian Hoyer,32,-0.5,-0.05,0.24,-0.17,-0.16,-0.45,-0.05,0.29
Brian McClure,1,0.08,-0.89,0.49,-1.45,1.41,-0.58,-1.7,-1.43
Brian Sipe,20,0.23,0.75,0.75,-0.11,0.01,-0.81,-0.05,-0.07
Brian St. Pierre,1,-1.75,-1.2,-0.1,-0.1,1.15,0.94,-1.35,-0.96
Brock Berlin,1,0.2,-1.25,-0.37,-1.88,0.16,-1.51,-1.01,-0.66
Brock Huard,4,-0.14,-1.25,-0.97,-0.02,-0.86,1.35,0.16,-0.26
Brock Osweiler,30,-0.33,-0.15,-0.02,-0.51,0.0,-0.02,-0.48,-0.52
Brodie Croyle,10,-0.25,-0.78,-1.05,-0.81,-0.6,0.18,-0.38,-0.56
Brooks Bollinger,10,-0.2,-0.35,-0.6,-0.66,-0.76,1.07,-0.12,-0.4
Browning Nagle,14,-1.1,0.51,0.23,-1.05,0.14,-0.52,-0.94,-0.58
Bruce Gradkowski,20,-1.12,-0.58,-0.95,-0.5,-0.09,0.18,-0.75,-0.76
Bruce Mathison,9,-0.74,-0.27,0.14,-1.03,0.94,-0.06,-1.01,-0.62
Bryce Petty,7,-1.32,-1.02,-0.89,-1.21,0.8,0.41,-1.63,-1.51
Bubby Brister,75,-0.07,0.17,0.19,0.09,-0.31,0.11,0.16,0.09
Bucky Richardson,4,-0.64,-0.5,0.19,-0.19,0.04,2.08,-0.28,-0.38
Byron Leftwich,50,-0.01,0.19,0.27,0.01,-0.48,-0.52,0.17,0.31
C.J. Beathard,10,-0.8,-0.6,0.03,-0.5,0.3,0.46,-0.54,-0.41
Cade McNown,15,-0.39,-0.32,-0.57,-0.31,0.16,0.16,-0.46,-0.46
Caleb Hanie,4,-1.59,-1.03,-1.22,-0.41,2.73,3.16,-2.11,-2.36
Cam Newton,124,-0.26,0.7,0.35,0.41,-0.12,-0.0,0.21,0.29
Carson Palmer,181,0.51,1.02,0.97,0.55,-0.16,-0.52,0.57,0.63
Carson Wentz,56,0.35,0.82,0.72,0.48,-0.53,-0.33,0.49,0.38
Cary Conklin,2,-0.67,-1.1,-0.53,0.75,-0.15,0.55,-0.13,-0.44
Case Keenum,60,0.04,0.23,0.16,-0.21,-0.36,-0.51,0.09,0.16
Chad Henne,53,-0.03,0.3,0.22,-0.45,-0.03,0.13,-0.21,-0.21
Chad Hutchinson,14,-0.51,-0.47,0.05,-0.58,-0.43,1.28,-0.29,-0.51
Chad Pennington,81,1.24,0.54,0.46,0.19,-0.41,-0.3,0.74,0.57
Charlie Batch,55,-0.08,0.03,0.03,0.02,-0.1,0.53,0.09,0.1
Charlie Frye,23,0.59,-0.28,-0.26,-0.79,0.66,1.27,-0.61,-1.04
Charlie Whitehurst,9,-0.9,-0.89,-0.71,-0.49,-0.94,0.6,-0.21,-0.1
Chase Daniel,5,0.84,-1.31,-1.76,-0.65,-0.49,0.72,-0.0,-0.35
Chris Chandler,147,0.38,0.27,0.13,0.35,-0.04,0.35,0.44,0.34
Chris Miller,92,-0.05,0.52,0.64,0.3,-0.17,-0.13,0.18,0.17
Chris Redman,12,-0.24,-0.68,-0.2,0.55,-0.58,-0.27,0.32,0.4
Chris Simms,16,-0.17,-0.39,-0.13,-0.8,0.01,0.51,-0.48,-0.66
Chris Weinke,20,-0.64,0.1,0.11,-0.95,0.11,-0.42,-0.86,-0.74
Christian Ponder,36,0.02,-0.18,-0.49,-0.21,0.2,0.51,-0.33,-0.55
Chuck Long,21,0.19,0.54,0.33,-0.17,0.13,0.27,-0.21,-0.32
Cleo Lemon,8,-0.64,-0.21,0.08,-0.89,-0.8,0.12,-0.36,-0.33
Cliff Stoudt,19,-0.61,0.19,-0.26,-0.26,0.73,0.99,-0.73,-0.69
Clint Stoerner,2,-0.96,-1.3,-1.54,1.44,3.47,0.56,-1.42,-1.46
Cody Carlson,19,-0.2,-0.54,-0.28,-0.33,0.18,0.32,-0.29,-0.19
Cody Kessler,12,0.58,-0.75,-0.65,-0.77,-0.76,1.49,0.16,-0.34
Cody Pickett,2,-3.2,-1.42,-2.3,-2.4,1.5,0.21,-3.11,-2.46
Colin Kaepernick,58,-0.27,0.12,-0.32,0.12,-0.72,0.89,0.3,0.23
Colt McCoy,28,0.28,-0.19,0.07,-0.42,-0.08,0.48,-0.1,-0.26
Connor Shaw,1,-2.15,-1.47,-0.43,-2.4,0.75,1.66,-2.07,-1.67
Craig Erickson,36,-0.37,0.66,0.35,0.24,-0.03,0.07,0.08,0.28
Craig Krenzel,5,-1.66,-0.87,-0.82,-0.8,0.49,2.55,-1.22,-1.33
Craig Morton,3,2.12,-1.74,-1.69,-2.19,3.66,0.56,-1.65,-2.37
Craig Whelihan,14,-1.33,-0.14,0.06,-0.64,0.88,-0.39,-1.2,-0.97
Curtis Painter,8,-0.83,-0.44,-0.3,-0.6,0.2,-0.35,-0.71,-0.49
Dak Prescott,64,0.69,1.03,0.6,0.38,-0.53,-0.23,0.74,0.74
Damon Huard,26,0.39,-0.16,-0.26,-0.03,-0.62,0.6,0.41,0.19
Dan Fouts,66,0.96,1.39,1.7,0.38,-0.1,-1.09,0.76,1.03
Dan Manucci,1,-1.91,-1.01,-1.68,-1.45,2.02,0.63,-2.99,-2.46
Dan Marino,240,0.68,1.67,1.47,0.67,-0.46,-1.27,0.8,0.98
Dan McGwire,5,-1.04,-1.13,-1.37,-1.62,0.76,1.45,-1.58,-1.86
Dan Orlovsky,12,0.05,-0.49,-0.39,-0.22,-0.36,-0.3,-0.0,-0.03
Daniel Jones,12,-0.01,0.51,0.45,0.73,0.02,-0.06,0.21,0.0
Danny Kanell,23,-0.48,-0.2,-0.5,-0.07,-0.02,-0.44,-0.41,-0.52
Danny White,45,1.08,1.16,1.03,0.54,-0.17,-0.44,0.72,0.45
Danny Wuerffel,10,-0.29,-0.93,-0.84,0.06,1.29,1.68,-0.59,-0.94
Daunte Culpepper,100,0.84,0.83,0.98,0.59,-0.04,0.39,0.72,0.59
Dave Brown,60,-0.23,0.21,-0.14,-0.43,0.3,0.95,-0.38,-0.41
Dave Krieg,172,0.53,0.85,0.66,0.59,-0.17,0.16,0.58,0.36
Dave Ragone,2,-1.24,-1.36,-1.61,-1.98,-0.5,2.65,-1.56,-1.97
Dave Walter,2,-0.43,-0.96,-1.47,-1.45,-1.57,0.02,-0.31,-0.11
Dave Wilson,27,-0.19,0.08,0.17,-0.12,0.3,0.15,-0.33,-0.35
David Archer,23,-0.56,0.1,-0.11,-0.7,0.05,0.8,-0.49,-0.53
David Blough,5,-1.33,-0.76,-0.02,-0.68,0.48,-0.1,-1.11,-0.83
David Carr,79,0.46,0.49,-0.06,-0.54,-0.19,0.95,-0.06,-0.36
David Garrard,76,0.5,0.47,0.26,0.19,-0.55,0.19,0.55,0.47
David Klingler,24,-0.29,-0.18,-0.3,-0.87,-0.36,1.38,-0.44,-0.78
David Norrie,2,-0.03,-0.7,0.59,-0.97,0.66,1.54,-1.01,-1.05
David Woodley,27,-0.46,-0.56,-0.34,-0.11,0.41,-0.55,-0.47,-0.13
DeShone Kizer,15,-1.24,0.48,-0.12,-0.92,0.86,0.05,-1.35,-1.0
Dennis Dixon,3,0.5,-1.19,-0.62,-1.23,-0.08,0.82,-0.14,-0.14
Derek Anderson,49,-0.84,0.08,-0.01,-0.11,0.38,-0.54,-0.45,-0.07
Derek Carr,94,0.38,0.91,0.5,0.19,-0.49,-0.63,0.36,0.34
Deshaun Watson,37,0.8,0.84,0.72,1.01,-0.23,0.6,0.9,0.67
Devlin Hodges,6,0.09,-0.71,-0.85,-0.29,1.4,0.18,-0.7,-0.66
Dieter Brock,15,1.12,0.66,0.3,0.48,-0.4,1.11,0.82,0.3
Don Majkowski,57,0.11,0.36,0.35,-0.09,-0.15,0.36,0.07,0.0
Don Strock,4,1.38,-1.02,-0.72,1.25,-0.58,-0.89,1.38,1.09
Donald Hollas,8,-0.45,-0.24,-0.62,-0.2,1.23,1.12,-0.76,-0.9
Donovan McNabb,161,0.13,0.81,0.82,0.45,-0.72,0.0,0.58,0.54
Doug Flutie,65,-0.25,0.42,0.26,0.15,-0.19,-0.77,0.09,0.42
Doug Hudson,1,-5.34,-1.08,-1.99,-1.45,-1.57,6.72,-1.4,-3.56
Doug Johnson,11,-0.18,-0.47,-0.32,-0.2,0.92,0.44,-0.42,-0.32
Doug Nussmeier,2,0.09,-1.36,-1.1,-1.33,0.68,0.9,-0.97,-1.04
Doug Pederson,17,-0.48,-0.62,-1.38,-0.92,0.38,0.15,-0.99,-1.05
Doug Williams,23,0.1,0.66,0.99,-0.14,-0.48,-1.35,0.22,0.58
Drew Bledsoe,193,-0.0,1.27,0.99,0.08,-0.22,-0.17,0.14,0.16
Drew Brees,274,1.34,1.48,1.37,0.87,-0.48,-0.93,1.11,1.03
Drew Henson,1,-0.29,-1.31,-2.41,0.97,0.94,0.84,-0.73,-1.84
Drew Lock,5,0.36,-0.74,0.07,0.39,-0.39,-1.14,0.32,0.39
Drew Stanton,17,-1.27,-0.71,-0.5,-0.47,0.09,-0.75,-0.72,-0.22
Dwayne Haskins,7,-0.56,-0.52,-0.61,-0.15,0.48,1.12,-0.43,-0.55
EJ Manuel,18,-0.56,-0.76,-0.75,-0.41,-0.11,0.29,-0.48,-0.52
Ed Luther,9,-0.48,-0.21,-0.82,-0.49,0.27,-1.21,-0.45,0.05
Ed Rubbert,3,0.14,-0.54,0.44,1.15,-0.82,-1.07,1.73,2.47
Eli Manning,234,-0.01,1.05,0.7,0.38,-0.03,-0.64,0.19,0.31
Elvis Grbac,70,0.31,0.7,0.54,0.23,-0.07,-0.72,0.28,0.37
Eric Hipple,47,-0.1,0.31,-0.19,-0.27,0.07,0.31,-0.28,-0.33
Eric Zeier,12,-0.07,-0.7,-0.29,-0.33,-0.28,0.66,-0.05,-0.14
Erik Kramer,67,0.28,0.25,0.52,0.18,-0.06,-0.69,0.2,0.32
Erik Wilhelm,1,0.16,-1.29,-1.45,-1.46,0.32,-1.01,-1.02,-0.84
Frank Reich,20,-0.13,-0.57,-0.36,0.52,0.03,-0.1,0.19,0.22
Frank Seurer,2,-0.46,-0.73,-1.41,-1.45,1.19,1.1,-1.52,-1.25
Gale Gilbert,4,0.35,-1.12,-1.82,-0.31,0.03,0.04,-0.19,-0.34
Gardner Minshew,12,-0.23,0.66,0.46,0.39,-0.73,-0.3,0.4,0.51
Gary Danielson,27,0.77,0.33,0.35,0.43,-0.07,0.1,0.51,0.37
Gary Hogeboom,37,0.3,0.23,0.29,-0.15,0.02,-0.08,0.09,0.11
Gary Kubiak,5,0.56,-1.13,-1.58,0.71,-0.53,0.13,0.64,0.18
Geno Smith,31,-0.64,0.11,-0.53,-0.54,0.98,0.53,-0.77,-0.7
Gifford Nielsen,11,-0.71,-0.64,-0.37,-0.29,0.14,0.44,-0.62,-0.56
Glenn Foley,9,-0.22,-0.98,-0.66,-0.06,0.65,-0.18,-0.34,-0.13
Greg Landry,1,0.01,-1.23,0.69,0.66,3.72,-2.35,-0.27,-0.14
Greg McElroy,1,0.18,-1.57,-1.66,-0.42,0.31,5.43,-0.22,-1.91
Gus Frerotte,87,-0.5,0.41,0.26,0.05,-0.07,-0.23,-0.06,0.2
Heath Shuler,22,-0.99,-0.46,-0.47,-0.64,1.17,0.1,-1.08,-0.78
Henry Burris,1,-2.58,-1.33,-1.93,1.37,3.52,-1.64,-2.33,-1.92
Hugh Millen,25,0.61,0.24,0.71,-0.5,-0.05,1.15,0.08,-0.18
J.P. Losman,33,0.19,0.09,-0.21,-0.04,0.06,0.92,-0.01,-0.3
J.T. O'Sullivan,8,-0.11,-0.31,0.11,0.14,0.62,1.97,-0.08,-0.12
JaMarcus Russell,25,-1.01,-0.11,-0.54,-0.42,-0.07,0.82,-0.45,-0.34
Jack Thompson,16,0.16,0.4,0.27,-0.03,0.58,0.41,-0.32,-0.46
Jack Trudeau,49,-0.25,0.03,0.21,-0.66,-0.02,-0.53,-0.44,-0.2
Jacoby Brissett,32,-0.26,0.43,-0.12,-0.36,-0.75,0.23,0.08,0.11
Jake Delhomme,96,0.2,0.72,0.57,0.41,0.01,-0.46,0.34,0.44
Jake Locker,23,-0.44,-0.63,-0.52,-0.22,0.49,0.33,-0.42,-0.33
Jake Plummer,136,0.01,0.86,0.55,0.02,0.12,-0.44,-0.02,0.13
Jameis Winston,70,-0.16,1.07,0.95,0.37,0.42,-0.26,0.1,0.39
Jamie Martin,8,1.57,-0.59,-0.01,-0.3,0.18,-0.49,0.46,0.27
Jared Goff,54,0.03,1.07,0.85,0.41,-0.26,-0.47,0.4,0.57
Jarious Jackson,1,-2.2,-1.43,-2.05,-1.98,4.44,-1.84,-3.21,-2.76
Jason Campbell,79,0.13,0.34,0.28,-0.07,-0.45,-0.14,0.23,0.22
Jason Garrett,9,-0.3,-0.8,-0.79,-0.2,-1.0,-0.29,0.28,0.58
Jay Cutler,153,0.32,0.66,0.51,0.46,0.1,-0.15,0.3,0.27
Jay Fiedler,60,0.17,0.26,0.09,0.27,0.27,-0.3,0.13,0.22
Jay Schroeder,99,-0.53,0.53,0.35,0.23,-0.1,-0.21,0.07,0.42
Jeff Blake,100,0.0,0.59,0.53,0.28,-0.21,-0.05,0.24,0.26
Jeff Carlson,3,-2.31,-1.17,-0.82,-0.85,1.26,-0.06,-1.94,-1.33
Jeff Christensen,2,-1.07,-0.78,-0.63,-0.91,0.39,-0.11,-1.29,-0.84
Jeff Driskel,8,-0.63,-0.89,-0.64,-0.29,-0.37,0.35,-0.33,-0.42
Jeff Garcia,116,0.63,0.66,0.52,0.43,-0.7,-0.68,0.76,0.79
Jeff George,124,0.26,0.8,0.81,0.14,-0.33,0.29,0.35,0.23
Jeff Hostetler,83,0.28,0.44,0.29,0.26,-0.35,0.38,0.49,0.45
Jeff Kemp,22,-0.31,-0.09,-0.3,0.47,-0.35,-0.41,0.44,0.6
Jeff Rutledge,9,-0.49,-0.4,0.31,-0.62,0.39,0.07,-0.64,-0.34
Jeff Tuel,1,-3.32,-1.59,-1.18,-1.46,1.6,-1.32,-2.47,-1.78
Jeff Van Raaphorst,1,0.11,-0.9,-0.8,-0.53,0.66,-0.08,-0.81,-0.84
Jerry Golsteyn,3,-1.49,-1.15,-0.8,-1.29,-1.49,-0.46,-0.96,-0.52
Jesse Palmer,3,-0.95,-1.04,-1.26,-0.58,0.02,1.41,-0.93,-1.27
Jim Crocicchia,1,-1.21,-0.99,-0.77,0.67,-1.57,0.52,0.5,0.32
Jim Druckenmiller,1,-2.18,-1.31,-1.78,-0.82,1.61,-0.24,-1.98,-1.74
Jim Everett,153,0.35,1.3,1.01,0.25,-0.15,-0.69,0.35,0.46
Jim Harbaugh,140,0.48,0.36,0.03,-0.19,-0.35,0.39,0.28,0.14
Jim Hart,3,-0.3,-1.11,-0.64,-0.01,2.63,1.36,-1.18,-1.35
Jim Kelly,160,0.75,1.26,1.01,0.68,-0.08,-0.33,0.71,0.64
Jim McMahon,97,0.49,0.08,0.18,0.08,-0.36,0.02,0.43,0.41
Jim Miller,27,0.1,-0.16,0.05,-0.17,-0.59,-1.18,0.08,0.19
Jim Plunkett,39,0.5,0.41,0.74,0.41,0.07,0.2,0.5,0.39
Jim Zorn,21,-1.04,-0.43,-0.82,-0.41,-0.16,-0.66,-0.7,-0.39
Jimmy Clausen,11,-0.88,-0.38,-0.95,-1.3,-0.27,0.88,-0.87,-0.83
Jimmy Garoppolo,26,0.94,0.4,0.52,0.78,-0.03,-0.14,0.95,0.94
Joe Dufek,5,-0.91,-0.74,0.19,-0.63,0.29,-0.71,-1.01,-0.82
Joe Ferguson,44,-0.17,0.24,0.14,-0.04,0.33,-0.73,-0.5,-0.55
Joe Flacco,171,0.22,0.75,0.51,-0.07,-0.35,-0.34,0.15,0.12
Joe Montana,140,1.27,1.33,1.28,0.68,-0.81,-0.68,1.25,1.12
